work_id,year,num_authors,author_ids,citations,is_oa,has_grant,issn,quartile,journal_name
W3128646645,2021,7,"A5082191284,A5051830072,A5047300895,A5026861762,A5057880586,A5009198168,A5064215217",86391,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2889646458,2018,6,"A5064215217,A5051830072,A5057880586,A5047300895,A5110967014,A5009198168",76594,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2179438025,2014,3,"A5049770701,A5029601108,A5022280742",75250,True,False,14747596,Q1,Genome biology
W1901129140,2015,3,"A5045981348,A5041583196,A5070290355",70679,False,False,03029743,Q2,Lecture notes in computer science
W1951724000,2015,4,"A5018754372,A5041484206,A5021063042,A5043596018",69632,True,False,15487660,Q1,Journal of Statistical Software
W2919115771,2015,3,"A5001226970,A5086198262,A5108093963",68195,False,False,00280836,Q1,Nature
W2131271579,2014,3,"A5027039912,A5068353394,A5011858960",54257,True,False,13674803,Q1,Bioinformatics
W3001118548,2020,29,"A5101545030,A5101454711,A5101925685,A5005176337,A5052152159,A5031491320,A5100425676,A5082759663,A5062226704,A5101081875,A5101711490,A5100655339,A5024929222,A5100344847,A5103981505,A5037416293,A5014572115,A5057824494,A5045493285,A5100606060,A5101633148,A5070771101,A5058709579,A5013568062,A5112776266,A5026007726,A5100637146,A5100424784,A5100613209",49553,True,False,01406736,Q1,The Lancet
W3118615836,2021,26,"A5089979303,A5015844348,A5061726857,A5065028933,A5090700680,A5031204654,A5091561305,A5076572041,A5041615321,A5012486829,A5070442023,A5003504334,A5054403907,A5110728949,A5007813511,A5072760500,A5054045289,A5055917772,A5074391235,A5037094305,A5082927689,A5090183643,A5074901391,A5029006782,A5077388783,A5068353058",49274,True,False,17561833,Q1,BMJ
W639708223,2016,4,"A5100824251,A5100700361,A5049246408,A5101425421",44762,True,True,01628828,Q1,IEEE Transactions on Pattern Analysis and Machine Intelligence
W2311203695,2016,3,"A5100680948,A5067791761,A5007823743",40506,True,True,07374038,Q1,Molecular Biology and Evolution
W2117539524,2015,12,"A5022811687,A5101542158,A5100627109,A5060909587,A5090158590,A5102331250,A5011349177,A5009290031,A5104110845,A5076189854,A5104361813,A5100450462",37344,False,False,09205691,Q1,International Journal of Computer Vision
W1969360633,2014,1,A5042885999,36540,True,False,20532296,Q4,Acta Crystallographica Section C Structural Chemistry
W1861492603,2014,8,"A5052768778,A5001371942,A5018609918,A5016775802,A5026825380,A5004353237,A5057866698,A5058450549",36389,False,False,03029743,Q2,Lecture notes in computer science
W2618530766,2017,3,"A5031152245,A5006446297,A5108093963",33189,True,False,00010782,Q1,Communications of the ACM
W2146512944,2015,7,"A5015434839,A5027183726,A5101454129,A5102946135,A5006353479,A5076240767,A5054704071",32288,True,False,03051048,Q1,Nucleic Acids Research
W2799524357,2018,5,"A5100680948,A5067791761,A5103055442,A5041551178,A5007823743",32274,True,True,07374038,Q1,Molecular Biology and Evolution
W3177828909,2021,34,"A5059179935,A5017082774,A5062883663,A5101569668,A5004531184,A5045981348,A5079389977,A5113989875,A5009567462,A5030626083,A5027154958,A5067459456,A5054576402,A5079907259,A5085902321,A5088601308,A5051623730,A5019154965,A5088186812,A5051168505,A5050109164,A5009240058,A5046346579,A5101599399,A5019985343,A5034531389,A5041605654,A5063529978,A5091771290,A5003562101,A5079708487,A5090341705,A5013834379,A5005349213",30749,True,False,00280836,Q1,Nature
W2560367415,2016,7,"A5030131864,A5011687402,A5028882183,A5110600183,A5112010242,A5013148496,A5049945196",30426,True,False,16613791,Q2,Breast Care
W2141052558,2014,1,A5025640090,29783,True,False,13674803,Q1,Bioinformatics
W3106250896,2016,7,"A5100431792,A5081024054,A5084125668,A5002183320,A5059110895,A5006183921,A5104361813",29686,False,False,03029743,Q2,Lecture notes in computer science
W2607031541,2017,6,"A5085065665,A5052830069,A5112282250,A5002395686,A5030779759,A5082875930",29182,True,False,14204096,Q2,Kidney & Blood Pressure Research
W3008827533,2020,37,"A5101633572,A5034117843,A5100523570,A5031255136,A5101506716,A5100751322,A5100349482,A5022408293,A5110843713,A5089024033,A5012294390,A5057422995,A5065458315,A5074675036,A5061008437,A5103136145,A5100453619,A5012491543,A5101520726,A5101728447,A5112505276,A5087858925,A5109466473,A5100751018,A5008676917,A5102707681,A5100416329,A5100707507,A5101887888,A5113360709,A5100438769,A5110448998,A5032532898,A5067095480,A5018142228,A5110669068,A5101475024",28993,True,False,00284793,Q1,New England Journal of Medicine
